cntry,pdi,idv,mas,uai,lto,ivr
AT,11,77,79,70,47,63
BE,65,81,54,94,61,57
BG,70,50,40,85,51,16
CY,57,35,57,65,45,70
CZ,57,70,57,74,51,29
DE,35,79,66,65,57,40
DK,18,89,16,23,59,70
EE,40,62,30,60,71,16
ES,57,67,42,86,47,44
FI,33,75,26,59,63,57
FR,68,74,43,86,60,48
GR,60,59,57,100,51,50
HR,73,42,40,80,40,33
HU,46,71,88,82,45,31
IE,28,58,68,35,51,65
IT,50,53,70,75,39,30
LT,42,55,19,65,49,16
LU,40,60,50,70,64,56
LV,44,70,9,63,69,13
MT,56,59,47,96,47,66
NL,38,100,14,53,67,68
PL,68,47,64,93,49,29
PT,63,59,31,99,42,33
RO,90,46,42,90,32,20
SE,31,87,5,29,52,78
SI,71,81,19,88,50,48
SK,100,57,100,51,53,28
