STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,AT,Austria,2012,,632.08,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,AT,Austria,2014,,633.92,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,AT,Austria,2017,,648.28,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,AT,Austria,2023,,699.31,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,AT,Austria,2024,,688.52,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BE,Belgium,2012,,531.40,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BE,Belgium,2014,,505.60,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BE,Belgium,2017,,496.50,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BE,Belgium,2023,,505.50,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BE,Belgium,2024,,496.30,,p,provisional,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BG,Bulgaria,2012,,603.71,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BG,Bulgaria,2014,,587.36,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BG,Bulgaria,2017,,615.19,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BG,Bulgaria,2023,,573.41,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,BG,Bulgaria,2024,,562.92,,,,,
dataflow,ESTAT:NAMA_10_A10_E(1.0),Employment by main industry (NACE Rev.2) - national accounts,A,Annual,THS_PER,Thousand persons,C,Manufacturing,EMP_DC,Total employment domestic concept,CY,Cyprus,2012,,33.25,,,,,
