Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2014 [YR2014],2017 [YR2017],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Austria,AUT,17.9497049255533,18.3880563664351,18.6103296736393,19.7897509199721,20.1640196753077,20.6064031791903
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Belgium,BEL,17.4894292316249,17.9621509816265,18.584903433857,19.7671927585206,20.1452749547016,20.5580809256443
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Bulgaria,BGR,18.9492680312808,19.7757387242757,20.8699557799437,21.6972972212748,21.8324383446666,22.0303362606903
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Cyprus,CYP,11.7783896817994,12.2610616321095,12.9503446411893,14.0779422699926,14.3232720596026,14.616184268068
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Croatia,HRV,18.2004685581559,18.8122396153648,20.1354432241616,22.4847051223347,22.815365461733,23.1877713482095
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Czechia,CZE,16.5000497271668,17.6054939584589,19.085882000882,20.5183106530339,20.5459005583495,20.8453836809891
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Denmark,DNK,17.6035443304634,18.4155552098464,19.1822684091773,20.4007400764725,20.6001829312424,20.8660704666167
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Estonia,EST,17.8628188378184,18.5609288129198,19.4674154002753,20.6300461857585,20.9140825455897,21.2973321004949
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Finland,FIN,18.4499585932434,19.6661048130943,21.1457473282604,23.2287672110978,23.5778747195571,23.8972369428395
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Germany,DEU,20.6376494265399,20.9586686898656,21.2936405100178,22.4589063795192,22.7900439454493,23.1955871731941
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Greece,GRC,19.8890960349321,20.6970672852563,21.6563374262051,23.2281742678017,23.4829980176041,23.939763430194
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Hungary,HUN,16.9920445700114,17.6863017779257,18.7797493757284,20.6075593133653,20.819084281895,20.9931972318078
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Ireland,IRL,12.0822402487581,12.7951907142582,13.6720454120936,15.16194031114,15.5417068369309,15.8920783803289
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Italy,ITA,20.9966444751961,21.6978740078895,22.558669089969,23.929189689659,24.2187831541913,24.624776723376
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Latvia,LVA,18.6755010177509,19.2414909818675,20.0107948444194,21.0117630297337,21.3320948408305,21.7358403074143
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lithuania,LTU,18.1799731254535,18.6035201529541,19.504402571296,19.8607556942966,19.8561787800633,20.1664889015269
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Luxembourg,LUX,13.9654108927907,14.1251062865936,14.3068137144371,14.8424375777289,15.1061948765445,15.4763638200631
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Malta,MLT,16.5765962159862,17.9435630039737,18.8131074315696,19.2843700775476,19.800039778143,20.2123026573043
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Netherlands,NLD,16.3399904352262,17.3524406523196,18.4202330068604,19.9012830406524,20.1567559021407,20.4960775816586
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Poland,POL,14.0246184967044,14.8828006858362,16.4659360432975,19.0192157040405,19.5609114692528,20.1434028173028
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Portugal,PRT,19.2003728663626,20.1141031472732,21.4882830483163,23.688003515383,24.1115106141099,24.5306498594644
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Slovenia,SVN,16.7904579946341,17.5469496825326,19.0009988314642,20.8812714279501,21.3323429613727,21.7723491779025
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Slovak Republic,SVK,12.9097808254813,13.6950033798192,15.2000556322042,17.5706371952843,18.0508365765507,18.5373993543753
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sweden,SWE,18.9775519929568,19.5210692673755,19.8018336203973,20.3419018248482,20.5364235623884,20.7467682423653
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,France,FRA,17.4830959695717,18.387873214191,19.6708486830069,21.3773491158756,21.7491423914771,22.1465618989138
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Romania,ROU,16.2663527867529,16.7939266755188,17.9121340991497,19.5152470245056,19.7531409207066,19.9809987731847
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Spain,ESP,17.4565170843771,18.2556448430349,18.9928200430073,20.1879992491906,20.6537075238774,21.1454438932121
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Austria,AUT,4720.81116,5009.44199,5416.07999,6658.54873,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Belgium,BEL,4116.61624,4544.86674,4757.30821,6983.19007,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Bulgaria,BGR,1537.4066,1822.03088,2125.46017,2557.19806,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Cyprus,CYP,1022.02872,1051.28205,1209.63685,1727.63497,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Croatia,HRV,1567.46167,1445.04267,1900.86092,2534.42425,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Czechia,CZE,3162.1117,3428.30846,3718.34571,4696.68437,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Denmark,DNK,7181.8507,7358.18842,7647.61749,8735.60064,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Estonia,EST,3457.75569,3285.59355,3552.46537,4654.85436,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Finland,FIN,7492.46096,7022.1865,6731.45341,8073.14567,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Germany,DEU,4355.567,4336.01915,5058.39528,5787.44181,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Greece,GRC,2236.28739,2733.92303,3250.61522,4926.78077,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Hungary,HUN,2400.89424,2654.79529,2902.24254,4725.1504,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Ireland,IRL,4873.66344,5290.95054,5114.19434,5511.65804,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Italy,ITA,1831.34278,1947.34437,2322.42382,2795.53412,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Latvia,LVA,1908.95404,1872.26628,1785.24003,2270.07923,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Lithuania,LTU,2670.60517,3082.27902,3068.33424,4153.6584,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Luxembourg,LUX,4401.98152,4782.93933,4969.23004,4879.24254,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Malta,MLT,1968.67504,1835.3282,2027.40143,2427.56223,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Netherlands,NLD,4336.14629,4926.09272,5273.17623,6319.17518,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Poland,POL,1752.07893,2054.74753,2994.85672,3721.07204,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Portugal,PRT,4032.33558,3658.36239,4348.10903,5686.65428,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Slovenia,SVN,4330.67354,4166.88131,4510.81305,5370.37458,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Slovak Republic,SVK,2827.14865,2723.67121,2803.05136,3387.47411,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Sweden,SWE,5196.71759,6909.46438,7316.6476,8623.7461,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,France,FRA,4052.17043,4210.03605,4546.76212,5181.84576,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Romania,ROU,891.59994,904.75745,887.74694,998.72545,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Spain,ESP,2693.39973,2614.44648,2847.3656,3387.49657,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Austria,AUT,2.91472,3.08429,3.05656,3.20048,..,..
